PKey,company_name,state,zip_code,full_time_employees,company_category,business_model,agency_name,agency_abbrev,agency_type,used_by
24,Altova,MA,1915,200,Data&Technology,Business to Business,Securities and Exchange Commission,SEC,Federal,Altova
25,Amazon Web Services,WA,98109,10,Data&Technology,Business to Business,Multiple government open data sources,,Other,Amazon Web Services
26,American Red Ball Movers,IN,46239,50,Transportation,Business to Consumer,Department of Commerce,USDC,Federal,American Red Ball Movers
27,Amida Technology Solutions,DC,20036,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,Amida Technology Solutions
28,Analytica,DC,20005,50,Data&Technology,Business to Government,District of Columbia,DC,State,Analytica
29,Analytica,DC,20005,50,Data&Technology,Business to Government,District of Columbia,DC,State,Analytica
30,Apextech LLC,VA,22201,50,Data&Technology,Business to Government,US Agency for International Development,USAID,Federal,Apextech LLC
31,Apextech LLC,VA,22201,50,Data&Technology,Business to Government,US Agency for International Development,USAID,Federal,Apextech LLC
32,Apextech LLC,VA,22201,50,Data&Technology,Business to Government,Department of Defense,DOD,Federal,Apextech LLC
33,Apextech LLC,VA,22201,50,Data&Technology,Business to Government,Department of Defense,DOD,Federal,Apextech LLC
34,Appallicious,CA,94104,50,Data&Technology,Business to Government,Department of Commerce,USDC,Federal,Appallicious
35,Appallicious,CA,94104,50,Data&Technology,Business to Government,San Francisco,SF,City/County,Appallicious
36,Appallicious,CA,94104,50,Data&Technology,Business to Government,San Francisco,SF,City/County,Appallicious
37,Aquicore,DC,0,10,Energy,Business to Business,Department of Energy,DOE,Federal,Aquicore
38,Archimedes Inc.,CA,94105,50,Healthcare,Academia,Department of Health and Human Services,HHS,Federal,Archimedes Inc.
39,Archimedes Inc.,CA,94105,50,Healthcare,Academia,Department of Health and Human Services,HHS,Federal,Archimedes Inc.
40,Archimedes Inc.,CA,94105,50,Healthcare,Academia,Department of Health and Human Services,HHS,Federal,Archimedes Inc.
41,Archimedes Inc.,CA,94105,50,Healthcare,Academia,Department of Health and Human Services,HHS,Federal,Archimedes Inc.
42,AreaVibes Inc.,NY,0,10,Data&Technology,Business to Consumer,Department of Commerce,USDC,Federal,AreaVibes Inc.
43,AreaVibes Inc.,NY,0,10,Data&Technology,Business to Consumer,Department of Commerce,USDC,Federal,AreaVibes Inc.
44,AreaVibes Inc.,NY,0,10,Data&Technology,Business to Consumer,Department of Justice,DOJ,Federal,AreaVibes Inc.
45,AreaVibes Inc.,NY,0,10,Data&Technology,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,AreaVibes Inc.
46,Arpin Van Lines,RI,2893,500,Transportation,Business to Government,Department of Commerce,USDC,Federal,Arpin Van Lines
47,Arrive Labs,CA,94110,10,Transportation,Business to Business,Multiple city and local data sources,,City/County,Arrive Labs
48,ASC Partners,MA,0,10,Business&LegalServices,Business to Business,Multiple federal data sources,,Federal,ASC Partners
49,Asset4,NY,10036,200,Finance&Investment,Business to Business,Multiple government open data sources,,Other,Asset4
50,Atlas Van Lines,IN,47712,500,Transportation,Business to Consumer,Department of Commerce,USDC,Federal,Atlas Van Lines
51,Atlas Van Lines,IN,47712,500,Transportation,Business to Consumer,Multiple government open data sources,,Other,Atlas Van Lines
52,AtSite,DC,20036,200,Research&Consulting,Business to Business,Department of Energy,DOE,Federal,AtSite
53,"Aunt Bertha, Inc.",TX,78731,50,Governance,Business to Consumer,Department of the Treasury,,Federal,"Aunt Bertha, Inc."
54,"Aunt Bertha, Inc.",TX,78731,50,Governance,Business to Consumer,Social Security Administration,SSA,Federal,"Aunt Bertha, Inc."
55,Aureus Sciences (*Now part of Elsevier),PA,19103,50,Scientific Research,Business to Business,Department of Health and Human Services,HHS,Federal,Aureus Sciences (*Now part of Elsevier)
56,AutoGrid Systems,CA,94065,50,Energy,Business to Government,Department of Commerce,USDC,Federal,AutoGrid Systems
57,Avalara,WA,98110,1000,Finance&Investment,Business to Consumer,Multiple city and local data sources,,City/County,Avalara
58,Avalara,WA,98110,1000,Finance&Investment,Business to Consumer,Multiple state data sources,,State,Avalara
59,Avvo,WA,98104,200,Business&LegalServices,Business to Consumer,Multiple government open data sources,,Other,Avvo
60,Ayasdi,CA,94025,200,Data&Technology,Business to Business,Department of Health and Human Services,HHS,Federal,Ayasdi
61,Azavea,PA,19107,50,Geospatial&Mapping,Business to Government,Department of Agriculture,USDA,Federal,Azavea
62,Azavea,PA,19107,50,Geospatial&Mapping,Business to Government,Department of Commerce,USDC,Federal,Azavea
63,Azavea,PA,19107,50,Geospatial&Mapping,Business to Government,Department of Commerce,USDC,Federal,Azavea
64,Azavea,PA,19107,50,Geospatial&Mapping,Business to Government,Department of Commerce,USDC,Federal,Azavea
65,Azavea,PA,19107,50,Geospatial&Mapping,Business to Government,Department of Commerce,USDC,Federal,Azavea
66,Azavea,PA,19107,50,Geospatial&Mapping,Business to Government,Department of Energy,DOE,Federal,Azavea
67,Azavea,PA,19107,50,Geospatial&Mapping,Business to Government,Department of Justice,DOJ,Federal,Azavea
68,Azavea,PA,19107,50,Geospatial&Mapping,Business to Government,Department of the Interior,DOI,Federal,Azavea
69,Azavea,PA,19107,50,Geospatial&Mapping,Business to Government,Department of the Interior,DOI,Federal,Azavea
70,Azavea,PA,19107,50,Geospatial&Mapping,Business to Government,Department of the Interior,DOI,Federal,Azavea
71,Azavea,PA,19107,50,Geospatial&Mapping,Business to Government,Federal Election Commission,FED,Federal,Azavea
72,Azavea,PA,19107,50,Geospatial&Mapping,Business to Government,National Aeronautics and Space Administration,NASA,Federal,Azavea
73,Azavea,PA,19107,50,Geospatial&Mapping,Business to Government,U.S. Environmental Protection Agency,EPA,Federal,Azavea
74,Azavea,PA,19107,50,Geospatial&Mapping,Business to Government,Multiple state data sources,,State,Azavea
75,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Florida,FL,State,BaleFire Global
76,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Raleigh,,City/County,BaleFire Global
77,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Washington,WA,State,BaleFire Global
78,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Multiple government open data sources,,Other,BaleFire Global
79,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Multiple government open data sources,,Other,BaleFire Global
80,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Multiple government open data sources,,Other,BaleFire Global
81,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Multiple city and local data sources,,City/County,BaleFire Global
82,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Multiple state data sources,,State,BaleFire Global
83,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Multiple federal data sources,,Federal,BaleFire Global
84,Barchart,IL,60606,200,Data&Technology,Business to Business,Department of Agriculture,USDA,Federal,Barchart
85,Barchart,IL,60606,200,Data&Technology,Business to Business,Department of Agriculture,USDA,Federal,Barchart
86,Barchart,IL,60606,200,Data&Technology,Business to Business,Department of Energy,DOE,Federal,Barchart
87,Be Informed,NY,10022,200,Data&Technology,Business to Business,Multiple government open data sources,,Other,Be Informed
88,Bekins,IN,46250,200,Transportation,Business to Government,Department of Commerce,USDC,Federal,Bekins
89,Berkery Noyes MandASoft,NY,10006,10,Finance&Investment,Business to Consumer,Multiple government open data sources,,Other,Berkery Noyes MandASoft
90,Berkshire Hathaway,NE,0,10000,Finance&Investment,Business to Consumer,Department of the Treasury,,Federal,Berkshire Hathaway
91,Berkshire Hathaway,NE,0,10000,Finance&Investment,Business to Consumer,Securities and Exchange Commission,SEC,Federal,Berkshire Hathaway
92,BetterLesson,MA,2140,50,Education,Business to Government,Multiple government open data sources,,Other,BetterLesson
93,BillGuard,NY,11036,50,Finance&Investment,Business to Consumer,Consumer Financial Protection Bureau,CFPB,Federal,BillGuard
94,Bing,WA,98052,10001,Data&Technology,Business to Business,Department of Health and Human Services,HHS,Federal,Bing
95,Biovia,CA,92121,10,Scientific Research,Business to Business,U.S. Environmental Protection Agency,EPA,Federal,Biovia
96,BizVizz,WI,53202,10,Governance,Business to Business,Multiple government open data sources,,Other,BizVizz
97,BlackRock,GA,30326,10001,Finance&Investment,Business to Consumer,Department of Agriculture,USDA,Federal,BlackRock
98,BlackRock,GA,30326,10001,Finance&Investment,Business to Consumer,Securities and Exchange Commission,SEC,Federal,BlackRock
99,Bloomberg,NY,10022,10001,Finance&Investment,Business to Consumer,Multiple government open data sources,,Other,Bloomberg
100,Booz Allen Hamilton,VA,22102,10001,Research&Consulting,Business to Business,Department of Homeland Security,DHS,Federal,Booz Allen Hamilton
101,Booz Allen Hamilton,VA,22102,10001,Research&Consulting,Business to Business,Department of Defense,DOD,Federal,Booz Allen Hamilton
102,Boston Consulting Group,MA,2108,10000,Research&Consulting,Business to Business,Multiple government open data sources,,Other,Boston Consulting Group
103,Boundless,NY,10038,50,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,Boundless
104,Bridgewater,CT,6880,5000,Finance&Investment,Business to Government,Department of Labor,DOL,Federal,Bridgewater
105,Bridgewater,CT,6880,5000,Finance&Investment,Business to Government,Department of Commerce,USDC,Federal,Bridgewater
106,Bridgewater,CT,6880,5000,Finance&Investment,Business to Government,Federal Reserve Board,FED,Federal,Bridgewater
107,Brightscope,CA,92122,200,Finance&Investment,Business to Consumer,Department of Labor,DOL,Federal,Brightscope
108,Brightscope,CA,92122,200,Finance&Investment,Business to Consumer,Securities and Exchange Commission,SEC,Federal,Brightscope
109,BuildFax,NC,0,50,Business&LegalServices,Business to Consumer,Department of Commerce,USDC,Federal,BuildFax
110,BuildFax,NC,0,50,Business&LegalServices,Business to Consumer,Multiple city and local data sources,,City/County,BuildFax
111,Buildingeye,CA,90017,10,Housing&RealEstate,Business to Consumer,Multiple city and local data sources,,City/County,Buildingeye
112,BuildZoom,CA,94105,50,Housing&RealEstate,Business to Consumer,San Francisco,SF,City/County,BuildZoom
113,BuildZoom,CA,94105,50,Housing&RealEstate,Business to Consumer,San Francisco,SF,City/County,BuildZoom
114,Business and Legal Resources,TN,37027,200,Business&LegalServices,Business to Business,Department of Labor,DOL,Federal,Business and Legal Resources
115,Business and Legal Resources,TN,37027,200,Business&LegalServices,Business to Business,US Equal Employment Opportunity Commission,EEOC,Federal,Business and Legal Resources
116,Business Monitor International,NY,0,500,Business&LegalServices,Business to Business,Multiple government open data sources,,Other,Business Monitor International
117,"Calcbench, Inc.",NY,10002,10,Finance&Investment,Business to Business,Securities and Exchange Commission,SEC,Federal,"Calcbench, Inc."
118,Cambridge Information Group,NY,10019,50,Finance&Investment,Business to Consumer,Department of State,DOS,Federal,Cambridge Information Group
119,Cambridge Semantics,MA,2111,50,Data&Technology,Business to Business,Multiple government open data sources,,Other,Cambridge Semantics
120,CAN Capital,NY,10014,500,Finance&Investment,Business to Business,Department of Commerce,USDC,Federal,CAN Capital
121,Canon,NY,11747,10001,Data&Technology,Business to Consumer,Multiple government open data sources,,Other,Canon
122,Capital Cube,NY,14221,50,Finance&Investment,Business to Consumer,Securities and Exchange Commission,SEC,Federal,Capital Cube
123,Cappex,IL,60606,200,Education,Business to Consumer,Department of Education,ED / DOED,Federal,Cappex
124,Captricity,CA,94704,10,Data&Technology,Business to Consumer,California,CA,State,Captricity
125,Captricity,CA,94704,10,Data&Technology,Business to Consumer,Department of the Treasury,,Federal,Captricity
128,CARFAX,VA,20120,1000,Transportation,Business to Consumer,Department of Transportation,DOT,Federal,CARFAX
129,CARFAX,VA,20120,1000,Transportation,Business to Consumer,Multiple city and local data sources,,City/County,CARFAX
130,CARFAX,VA,20120,1000,Transportation,Business to Consumer,Multiple state data sources,,State,CARFAX
131,Caspio,CA,95054,200,Data&Technology,Business to Consumer,Multiple government open data sources,,Other,Caspio
132,Castle Biosciences,TX,77546,10,Scientific Research,Business to Consumer,Department of Health and Human Services,HHS,Federal,Castle Biosciences
133,CB Insights,NY,10018,50,Finance&Investment,Business to Business,Securities and Exchange Commission,SEC,Federal,CB Insights
134,CB Insights,NY,10018,50,Finance&Investment,Business to Business,Multiple government open data sources,,Other,CB Insights
135,Ceiba Solutions,MA,2109,200,Scientific Research,Business to Consumer,Department of Health and Human Services,HHS,Federal,Ceiba Solutions
136,Ceiba Solutions,MA,2109,200,Scientific Research,Business to Consumer,Department of Health and Human Services,HHS,Federal,Ceiba Solutions
137,Ceiba Solutions,MA,2109,200,Scientific Research,Business to Consumer,Department of Health and Human Services,HHS,Federal,Ceiba Solutions
138,Center for Responsive Politics,DC,20005,50,Research&Consulting,Nonprofit,Department of the Treasury,,Federal,Center for Responsive Politics
139,Center for Responsive Politics,DC,20005,50,Research&Consulting,Nonprofit,Federal Election Commission,FED,Federal,Center for Responsive Politics
140,Center for Responsive Politics,DC,20005,50,Research&Consulting,Nonprofit,Multiple government open data sources,,Other,Center for Responsive Politics
141,Cerner,MO,64117,10001,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,Cerner
142,Certara,MO,63101,500,Scientific Research,Business to Consumer,Department of Health and Human Services,HHS,Federal,Certara
143,CGI,NY,10004,10001,Business&LegalServices,Business to Business,Multiple city and local data sources,,City/County,CGI
144,CGI,NY,10004,10001,Business&LegalServices,Business to Business,Multiple state data sources,,State,CGI
145,CGI,NY,10004,10001,Business&LegalServices,Business to Business,Multiple federal data sources,,Federal,CGI
146,Charles River Associates,MA,0,1000,Research&Consulting,Business to Business,Department of Commerce,USDC,Federal,Charles River Associates
147,Charles River Associates,MA,0,1000,Research&Consulting,Business to Business,Department of Health and Human Services,HHS,Federal,Charles River Associates
148,Charles River Associates,MA,0,1000,Research&Consulting,Business to Business,Department of Health and Human Services,HHS,Federal,Charles River Associates
149,Charles River Associates,MA,0,1000,Research&Consulting,Business to Business,Multiple government open data sources,,Other,Charles River Associates
150,Charles Schwab Corp.,CA,94105,10001,Finance&Investment,Business to Consumer,Department of the Treasury,,Federal,Charles Schwab Corp.
151,Charles Schwab Corp.,CA,94105,10001,Finance&Investment,Business to Consumer,Securities and Exchange Commission,SEC,Federal,Charles Schwab Corp.
152,Chemical Abstracts Service,OH,43202,5000,Scientific Research,Nonprofit,Department of Commerce,USDC,Federal,Chemical Abstracts Service
153,Chemical Abstracts Service,OH,43202,5000,Scientific Research,Nonprofit,Department of Health and Human Services,HHS,Federal,Chemical Abstracts Service
154,Chemical Abstracts Service,OH,43202,5000,Scientific Research,Nonprofit,Department of Health and Human Services,HHS,Federal,Chemical Abstracts Service
155,Chemical Abstracts Service,OH,43202,5000,Scientific Research,Nonprofit,National Archives and Records Administration,NARA,Federal,Chemical Abstracts Service
156,Child Care Desk,NY,0,10,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk
157,Child Care Desk,NY,0,10,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk
158,Child Care Desk,NY,0,10,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk
159,Child Care Desk,NY,0,10,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk
160,Child Care Desk,NY,0,10,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk
161,Child Care Desk,NY,0,10,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk
162,Child Care Desk,NY,0,10,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk
163,Child Care Desk,NY,0,10,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk
164,Child Care Desk,NY,0,10,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk
165,Child Care Desk,NY,0,10,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk
166,Chubb,NJ,7059,10001,Insurance,Business to Consumer,Multiple government open data sources,,Other,Chubb
167,Citigroup,NY,10022,10001,Finance&Investment,Business to Government,Multiple city and local data sources,,City/County,Citigroup
168,CityScan,IL,60654,10,Geospatial&Mapping,Business to Government,Chicago,CHI,City/County,CityScan
169,CityScan,IL,60654,10,Geospatial&Mapping,Business to Government,Department of Commerce,USDC,Federal,CityScan
170,CityScan,IL,60654,10,Geospatial&Mapping,Business to Government,Philadelphia,PHILA,State,CityScan
171,CityScan,IL,60654,10,Geospatial&Mapping,Business to Government,New York City,NYC,City/County,CityScan
172,CitySourced,CA,90025,50,Governance,Business to Government,Multiple city and local data sources,,City/County,CitySourced
173,Civic Impulse LLC,DC,20004,10,Governance,Business to Government,U.S. House of Representatives,,Federal Open Data,Civic Impulse LLC
174,Civic Impulse LLC,DC,20004,10,Governance,Business to Government,Multiple federal data sources,,Federal,Civic Impulse LLC
175,Civic Insight,CA,94103,10,Housing&RealEstate,Business to Government,Multiple city and local data sources,,City/County,Civic Insight
176,Civinomics,CA,95060,10,Governance,Business to Government,Department of Commerce,USDC,Federal,Civinomics
177,Civis Analytics,IL,0,200,Data&Technology,Nonprofit,Multiple government open data sources,,Other,Civis Analytics
178,Clean Power Finance,CA,94105,200,Energy,Business to Consumer,Department of Energy,DOE,Federal,Clean Power Finance
179,Clean Power Finance,CA,94105,200,Energy,Business to Consumer,Department of Energy,DOE,Federal,Clean Power Finance
180,ClearHealthCosts,NY,10036,10,Healthcare,Nonprofit,Department of Health and Human Services,HHS,Federal,ClearHealthCosts
181,ClearStory Data,CA,94301,200,Data&Technology,Business to Business,Multiple government open data sources,,Other,ClearStory Data
182,Climate Corporation,CA,94103,200,Food&Agriculture,Business to Business,Department of Agriculture,USDA,Federal,Climate Corporation
183,Climate Corporation,CA,94103,200,Food&Agriculture,Business to Business,Department of Commerce,USDC,Federal,Climate Corporation
184,Climate Corporation,CA,94103,200,Food&Agriculture,Business to Business,Department of Commerce,USDC,Federal,Climate Corporation
185,Climate Corporation,CA,94103,200,Food&Agriculture,Business to Business,Department of the Interior,DOI,Federal,Climate Corporation
186,Climate Corporation,CA,94103,200,Food&Agriculture,Business to Business,National Aeronautics and Space Administration,NASA,Federal,Climate Corporation
187,CliniCast,CA,94030,10,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,CliniCast
188,CliniCast,CA,94030,10,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,CliniCast
189,CliniCast,CA,94030,10,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,CliniCast
190,CliniCast,CA,94030,10,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,CliniCast
191,Cloudmade,CA,94025,200,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,Cloudmade
192,Cloudmade,CA,94025,200,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,Cloudmade
193,Cloudmade,CA,94025,200,Geospatial&Mapping,Business to Business,Multiple government open data sources,,Other,Cloudmade
194,Cloudspyre,VA,20152,10,Lifestyle&Consumer,Business to Business,Department of Labor,DOL,Federal,Cloudspyre
195,Code for America,CA,94103,200,Governance,Business to Government,Austin,AUS,City/County,Code for America
196,Code for America,CA,94103,200,Governance,Business to Government,Chicago,CHI,City/County,Code for America
197,Code-N,CA,94025,50,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,Code-N
198,Collective IP,CO,80216,10,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,Collective IP
199,Collective IP,CO,80216,10,Data&Technology,Business to Business,Department of Health and Human Services,HHS,Federal,Collective IP
200,"College Abacus, an ECMC initiative",DC,0,1000,Finance&Investment,Academia,Department of Education,ED / DOED,Federal,"College Abacus, an ECMC initiative"
201,"College Abacus, an ECMC initiative",DC,0,1000,Finance&Investment,Academia,Department of Education,ED / DOED,Federal,"College Abacus, an ECMC initiative"
202,College Board,NY,11023,5000,Education,Academia,Department of Education,ED / DOED,Federal,College Board
203,College Board,NY,11023,5000,Education,Academia,Department of Education,ED / DOED,Federal,College Board
204,Compared Care,MD,0,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,Compared Care
205,Compendia Bioscience Life Technologies,MI,48104,50,Scientific Research,Academia,Department of Health and Human Services,HHS,Federal,Compendia Bioscience Life Technologies
206,Compendia Bioscience Life Technologies,MI,48104,50,Scientific Research,Academia,Department of Health and Human Services,HHS,Federal,Compendia Bioscience Life Technologies
207,Compendia Bioscience Life Technologies,MI,48104,50,Scientific Research,Academia,Department of Health and Human Services,HHS,Federal,Compendia Bioscience Life Technologies
208,Compendia Bioscience Life Technologies,MI,48104,50,Scientific Research,Academia,Department of Health and Human Services,HHS,Federal,Compendia Bioscience Life Technologies
209,Compliance and Risks,CA,95962,50,Business&LegalServices,Business to Business,Multiple government open data sources,,Other,Compliance and Risks
210,Compliance and Risks,CA,95962,50,Business&LegalServices,Business to Business,Multiple government open data sources,,Other,Compliance and Risks
211,Computer Packages Inc,MD,20850,200,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,Computer Packages Inc
212,CONNECT-DOT LLC.,NJ,7410,10,Lifestyle&Consumer,Business to Government,Multiple government open data sources,,Other,CONNECT-DOT LLC.
213,ConnectEDU,MA,2210,200,Education,Business to Consumer,Department of Education,ED / DOED,Federal,ConnectEDU
214,ConnectEDU,MA,2210,200,Education,Business to Consumer,Multiple city and local data sources,,City/County,ConnectEDU
215,Connotate,NJ,8901,200,Data&Technology,Business to Business,Multiple government open data sources,,Other,Connotate
216,Construction Monitor LLC,UT,84721,50,Housing&RealEstate,Business to Business,Department of Commerce,USDC,Federal,Construction Monitor LLC
217,Construction Monitor LLC,UT,84721,50,Housing&RealEstate,Business to Business,Utah,UT,State,Construction Monitor LLC
218,Construction Monitor LLC,UT,84721,50,Housing&RealEstate,Business to Business,Multiple city and local data sources,,City/County,Construction Monitor LLC
219,Construction Monitor LLC,UT,84721,50,Housing&RealEstate,Business to Business,Multiple state data sources,,State,Construction Monitor LLC
220,Consumer Reports,NY,10703,1000,Lifestyle&Consumer,Business to Consumer,Department of Health and Human Services,HHS,Federal,Consumer Reports
221,CoolClimate,CA,94720,10,Environment&Weather,Business to Government,Multiple government open data sources,,Other,CoolClimate
222,Copyright Clearance Center,MA,1923,500,Business&LegalServices,Business to Consumer,Multiple federal data sources,,Federal,Copyright Clearance Center
224,CostQuest,OH,45206,50,Business&LegalServices,Business to Business,Department of Commerce,USDC,Federal,CostQuest
225,Credit Karma,CA,94104,200,Finance&Investment,Business to Consumer,Multiple government open data sources,,Other,Credit Karma
226,Credit Sesame,CA,94041,50,Finance&Investment,Business to Consumer,Department of Commerce,USDC,Federal,Credit Sesame
227,Credit Sesame,CA,94041,50,Finance&Investment,Business to Consumer,Department of Commerce,USDC,Federal,Credit Sesame
228,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,CrowdANALYTIX
229,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,CrowdANALYTIX
230,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Business,Department of Energy,DOE,Federal,CrowdANALYTIX
231,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Business,Department of Energy,DOE,Federal,CrowdANALYTIX
232,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Business,Department of Justice,DOJ,Federal,CrowdANALYTIX
233,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Business,Department of State,DOS,Federal,CrowdANALYTIX
234,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Business,Department of the Interior,DOI,Federal,CrowdANALYTIX
235,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Business,Department of the Interior,DOI,Federal,CrowdANALYTIX
236,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Business,Department of Transportation,DOT,Federal,CrowdANALYTIX
237,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Business,Department of Transportation,DOT,Federal,CrowdANALYTIX
238,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Business,Federal Reserve Board,FED,Federal,CrowdANALYTIX
239,Dabo Health,CA,94025,50,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,Dabo Health
240,DataLogix,CO,80021,500,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,DataLogix
241,DataLogix,CO,80021,500,Data&Technology,Business to Business,Multiple state data sources,,State,DataLogix
242,DataMade,IL,60647,10,Governance,Business to Government,Chicago,CHI,City/County,DataMade
243,DataMade,IL,60647,10,Governance,Business to Government,Illinois,IL,State,DataMade
244,DataMarket,MA,2110,50,Data&Technology,Business to Consumer,Department of the Treasury,,Federal,DataMarket
245,DataMarket,MA,2110,50,Data&Technology,Business to Consumer,Missouri,MO,State,DataMarket
246,Datamyne,FL,33216,200,Data&Technology,Business to Business,Department of Homeland Security,DHS,Federal,Datamyne
247,Datamyne,FL,33216,200,Data&Technology,Business to Business,Department of Homeland Security,DHS,Federal,Datamyne
248,Datamyne,FL,33216,200,Data&Technology,Business to Business,Department of Homeland Security,DHS,Federal,Datamyne
