TRUE,company_name,state,zip_code,full_time_employees,company_category,business_model,agency_name,agency_abbrev,agency_type,used_by,dataset_name
55,Aureus Sciences (*Now part of Elsevier),PA,19103,50,ScientificResearch,Business to Business,Department of Health and Human Services,HHS,Federal,Aureus Sciences (*Now part of Elsevier),FDA approval packages
56,AutoGrid Systems,CA,94065,50,Energy, Business to Government,Department of Commerce,USDC,Federal,AutoGrid Systems,
57,Avalara,WA,98110,1000,Finance&Investment,Business to Consumer,Multiple city and local data sources,,City/County,Avalara,
58,Avalara,WA,98110,1000,Finance&Investment,Business to Consumer,Multiple state data sources,,State,Avalara,
59,Avvo,WA,98104,200,Business&LegalServices,Business to Consumer,Multiple government open data sources,,Other,Avvo,
60,Ayasdi,CA,94025,200,Data&Technology,Business to Business,Department of Health and Human Services,HHS,Federal,Ayasdi,The Cancer Genome Atlas
61,Azavea,PA,19107,50,Geospatial&Mapping, Business to Government,Department of Agriculture,USDA,Federal,Azavea,US Forest Service
62,Azavea,PA,19107,50,Geospatial&Mapping, Business to Government,Department of Commerce,USDC,Federal,Azavea,National Oceanic and Atmospheric Administration
63,Azavea,PA,19107,50,Geospatial&Mapping, Business to Government,Department of Commerce,USDC,Federal,Azavea,National Weather Service
64,Azavea,PA,19107,50,Geospatial&Mapping, Business to Government,Department of Commerce,USDC,Federal,Azavea,American Community Survey (ACS)
65,Azavea,PA,19107,50,Geospatial&Mapping, Business to Government,Department of Commerce,USDC,Federal,Azavea,US Census Bureau
66,Azavea,PA,19107,50,Geospatial&Mapping, Business to Government,Department of Energy,DOE,Federal,Azavea,Energy Information Administration
67,Azavea,PA,19107,50,Geospatial&Mapping, Business to Government,Department of Justice,DOJ,Federal,Azavea,Federal Bureau of Investigation
68,Azavea,PA,19107,50,Geospatial&Mapping, Business to Government,Department of the Interior,DOI,Federal,Azavea,National Elevation Dataset (NED)
69,Azavea,PA,19107,50,Geospatial&Mapping, Business to Government,Department of the Interior,DOI,Federal,Azavea,U.S. Geological Survey
70,Azavea,PA,19107,50,Geospatial&Mapping, Business to Government,Department of the Interior,DOI,Federal,Azavea,US Fish and Wildlife Service
71,Azavea,PA,19107,50,Geospatial&Mapping, Business to Government,Federal Election Commission,FED,Federal,Azavea,Federal Election Commission
72,Azavea,PA,19107,50,Geospatial&Mapping, Business to Government,National Aeronautics and Space Administration,NASA,Federal,Azavea,National Aeronautics and Space Administration
73,Azavea,PA,19107,50,Geospatial&Mapping, Business to Government,U.S. Environmental Protection Agency,EPA,Federal,Azavea,U.S. Environmental Protection Agency
74,Azavea,PA,19107,50,Geospatial&Mapping, Business to Government,Multiple state data sources,,State,Azavea,Vermont Center for Geographic Information
75,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Florida,FL,State,BaleFire Global,The City of Gainesville
76,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Raleigh,,City/County,BaleFire Global,"The City of Raleigh, North Carolina"
77,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Washington,WA,State,BaleFire Global,The City of Tacoma
78,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Multiple government open data sources,,Other,BaleFire Global,The Territory of Puerto Rico
79,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Multiple government open data sources,,Other,BaleFire Global,Ireland's National Open Data Portal (has U.S. Companies)
80,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Multiple government open data sources,,Other,BaleFire Global,OpenCorporates International Data (has U.S. Companies)
81,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Multiple city and local data sources,,City/County,BaleFire Global,The City of Newark
82,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Multiple state data sources,,State,BaleFire Global,
83,BaleFire Global,NC,27628,10,Data&Technology,Business to Government,Multiple federal data sources,,Federal,BaleFire Global,
84,Barchart,IL,60606,200,Data&Technology,Business to Business,Department of Agriculture,USDA,Federal,Barchart,
85,Barchart,IL,60606,200,Data&Technology,Business to Business,Department of Agriculture,USDA,Federal,Barchart,
86,Barchart,IL,60606,200,Data&Technology,Business to Business,Department of Energy,DOE,Federal,Barchart,
87,Be Informed,NY,10022,200,Data&Technology,Business to Business,Multiple government open data sources,,Other,Be Informed,
88,Bekins,IN,46250,200,Transportation, Business to Government,Department of Commerce,USDC,Federal,Bekins,
89,Berkery Noyes MandASoft,NY,10006,10,Finance&Investment, Business to Consumer,Multiple government open data sources,,Other,Berkery Noyes MandASoft,"Data from the Healthcare, Education, Financial and Technology sectors"
90,Berkshire Hathaway,NE,0,10000,Finance&Investment,Business to Consumer,Department of the Treasury,,Federal,Berkshire Hathaway,
91,Berkshire Hathaway,NE,0,10000,Finance&Investment,Business to Consumer,Securities and Exchange Commission,SEC,Federal,Berkshire Hathaway,
92,BetterLesson,MA,2140,50,Education, Business to Government,Multiple government open data sources,,Other,BetterLesson,
93,BillGuard,NY,11036,50,Finance&Investment,Business to Consumer,Consumer Financial Protection Bureau,CFPB,Federal,BillGuard,CFPB Credit Card Complaint Database
94,Bing,WA,98052,10001,Data&Technology,Business to Consumer,Department of Health and Human Services,HHS,Federal,Bing,Uses data from HHS and the Institute of Medicine for visualization on Bing maps.
95,Biovia,CA,92121,200,ScientificResearch,Business to Business,U.S. Environmental Protection Agency,EPA,Federal,Biovia,National Center for Computational Toxicology
96,BizVizz,WI,53202,200,Governance,Business to Business,Multiple government open data sources,,Other,BizVizz,
97,BlackRock,GA,30326,10001,Finance&Investment, Business to Consumer,Department of Agriculture,USDA,Federal,BlackRock,
98,BlackRock,GA,30326,10001,Finance&Investment, Business to Consumer,Securities and Exchange Commission,SEC,Federal,BlackRock,
99,Bloomberg,NY,10022,10001,Finance&Investment, Business to Consumer,Multiple government open data sources,,Other,Bloomberg,
100,Booz Allen Hamilton,VA,22102,10001,Research&Consulting,Business to Business,Department of Homeland Security,DHS,Federal,Booz Allen Hamilton,
101,Booz Allen Hamilton,VA,22102,10001,Research&Consulting,Business to Business,Department of Defense,DOD,Federal,Booz Allen Hamilton,
102,Boston Consulting Group,MA,2108,10000,Research&Consulting,Business to Business,Multiple government open data sources,,Other,Boston Consulting Group,
103,Boundless,NY,10038,50,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,Boundless,
104,Bridgewater,CT,6880,5000,Finance&Investment, Business to Government,Department of Labor,DOL,Federal,Bridgewater,Data on inflation
105,Bridgewater,CT,6880,5000,Finance&Investment, Business to Government,Department of Commerce,USDC,Federal,Bridgewater,Data on U.S. gross domestic product
106,Bridgewater,CT,6880,5000,Finance&Investment, Business to Government,Federal Reserve Board,FED,Federal,Bridgewater,Data on currency exchange rates
107,Brightscope,CA,92122,200,Finance&Investment,Business to Consumer,Department of Labor,DOL,Federal,Brightscope,Retirement Plan Data
108,Brightscope,CA,92122,200,Finance&Investment,Business to Consumer,Securities and Exchange Commission,SEC,Federal,Brightscope,Investment Advisor Data
109,BuildFax,NC,0,50,Business&LegalServices, Business to Consumer,Department of Commerce,USDC,Federal,BuildFax,
110,BuildFax,NC,0,50,Business&LegalServices, Business to Consumer,Multiple city and local data sources,,City/County,BuildFax,
111,Buildingeye,CA,90017,10,Housing&RealEstate,Business to Consumer,Multiple city and local data sources,,City/County,Buildingeye,
112,BuildZoom,CA,94105,50,Housing&RealEstate,Business to Consumer,San Francisco,SF,City/County,BuildZoom,State Contractor License Data
113,BuildZoom,CA,94105,50,Housing&RealEstate,Business to Consumer,San Francisco,SF,City/County,BuildZoom,City Permit Data
114,Business and Legal Resources,TN,37027,200,Business&LegalServices,Business to Business,Department of Labor,DOL,Federal,Business and Legal Resources,
115,Business and Legal Resources,TN,37027,200,Business&LegalServices,Business to Business,US Equal Employment Opportunity Commission,EEOC,Federal,Business and Legal Resources,
116,Business Monitor International,NY,0,500,Business&LegalServices,Business to Business,Multiple government open data sources,,Other,Business Monitor International,
117,"Calcbench, Inc.",NY,10002,10,Finance&Investment,Business to Consumer,Securities and Exchange Commission,SEC,Federal,"Calcbench, Inc.",Securities and Exchange Commission
118,Cambridge Information Group,NY,10019,50,Finance&Investment, Business to Consumer,Department of State,DOS,Federal,Cambridge Information Group,Congressional Research Service reports (CRS) and issue briefs
119,Cambridge Semantics,MA,2111,50,Data&Technology,Business to Business,Multiple government open data sources,,Other,Cambridge Semantics,
120,CAN Capital,NY,10014,500,Finance&Investment,Business to Business,Department of Commerce,USDC,Federal,CAN Capital,
121,Canon,NY,11747,10001,Data&Technology,Business to Consumer,Multiple government open data sources,,Other,Canon,
122,Capital Cube,NY,14221,50,Finance&Investment,Business to Consumer,Securities and Exchange Commission,SEC,Federal,Capital Cube,
123,Cappex,IL,60606,200,Education,Business to Consumer,Department of Education,ED / DOED,Federal,Cappex,
124,Captricity,CA,94704,10,Data&Technology, Business to Consumer,California,CA,State,Captricity,California Fair Political Practices Commission (FPPC)
125,Captricity,CA,94704,10,Data&Technology, Business to Consumer,Department of the Treasury,,Federal,Captricity,IRS Form 990 Return of Organization Exempt From Income Tax
126,CareSet Systems,TX,77024,10,Data&Technology,Business to Business,Department of Commerce,,,,
127,Careset.com,TX,77024,10,Data&Technology,Business to Business,Department of Commerce,,,,
128,CARFAX,VA,20120,1000,Transportation,Business to Consumer,Department of Transportation,DOT,Federal,CARFAX,
129,CARFAX,VA,20120,1000,Transportation,Business to Consumer,Multiple city and local data sources,,City/County,CARFAX,Data from fire departments and law enforcement agencies
130,CARFAX,VA,20120,1000,Transportation,Business to Consumer,Multiple state data sources,,State,CARFAX,Data from all 50 state DMVs
131,Caspio,CA,95054,200,Data&Technology, Business to Consumer,Multiple government open data sources,,Other,Caspio,
132,Castle Biosciences,TX,77546,10,ScientificResearch,Business to Consumer,Department of Health and Human Services,HHS,Federal,Castle Biosciences,Cancer Genome Atlas
133,CB Insights,NY,10018,50,Finance&Investment,Business to Business,Securities and Exchange Commission,SEC,Federal,CB Insights,
134,CB Insights,NY,10018,50,Finance&Investment,Business to Business,Multiple government open data sources,,Other,CB Insights,
135,Ceiba Solutions,MA,2109,200,ScientificResearch, Business to Consumer,Department of Health and Human Services,HHS,Federal,Ceiba Solutions,National Center for Biotechnology Information
136,Ceiba Solutions,MA,2109,200,ScientificResearch, Business to Consumer,Department of Health and Human Services,HHS,Federal,Ceiba Solutions,The PubChem Project
137,Ceiba Solutions,MA,2109,200,ScientificResearch, Business to Consumer,Department of Health and Human Services,HHS,Federal,Ceiba Solutions,PubMed
138,Center for Responsive Politics,DC,20005,50,Research&Consulting,nonprofit,Department of the Treasury,,Federal,Center for Responsive Politics,
139,Center for Responsive Politics,DC,20005,50,Research&Consulting,nonprofit,Federal Election Commission,FED,Federal,Center for Responsive Politics,
140,Center for Responsive Politics,DC,20005,50,Research&Consulting,nonprofit,Multiple government open data sources,,Other,Center for Responsive Politics,
141,Cerner,MO,64117,10001,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,Cerner,
142,Certara,MO,63101,500,ScientificResearch, Business to Consumer,Department of Health and Human Services,HHS,Federal,Certara,
143,CGI,NY,10004,10001,Business&LegalServices,Business to Business,Multiple city and local data sources,,City/County,CGI,
144,CGI,NY,10004,10001,Business&LegalServices,Business to Business,Multiple state data sources,,State,CGI,
145,CGI,NY,10004,10001,Business&LegalServices,Business to Business,Multiple federal data sources,,Federal,CGI,
146,Charles River Associates,MA,0,1000,Research&Consulting,Business to Business,Department of Commerce,USDC,Federal,Charles River Associates,
147,Charles River Associates,MA,0,1000,Research&Consulting,Business to Business,Department of Health and Human Services,HHS,Federal,Charles River Associates,Agency for healthcare research and quality - MEPS
148,Charles River Associates,MA,0,1000,Research&Consulting,Business to Business,Department of Health and Human Services,HHS,Federal,Charles River Associates,
149,Charles River Associates,MA,0,1000,Research&Consulting,Business to Business,Multiple government open data sources,,Other,Charles River Associates,
150,Charles Schwab Corp.,CA,94105,10001,Finance&Investment,Business to Consumer,Department of the Treasury,,Federal,Charles Schwab Corp.,
151,Charles Schwab Corp.,CA,94105,10001,Finance&Investment,Business to Consumer,Securities and Exchange Commission,SEC,Federal,Charles Schwab Corp.,
152,Chemical Abstracts Service,OH,43202,5000,ScientificResearch,Nonprofit,Department of Commerce,USDC,Federal,Chemical Abstracts Service,
153,Chemical Abstracts Service,OH,43202,5000,ScientificResearch,Nonprofit,Department of Health and Human Services,HHS,Federal,Chemical Abstracts Service,GenBank
154,Chemical Abstracts Service,OH,43202,5000,ScientificResearch,Nonprofit,Department of Health and Human Services,HHS,Federal,Chemical Abstracts Service,GenBank
155,Chemical Abstracts Service,OH,43202,5000,ScientificResearch,Nonprofit,National Archives and Records Administration,NARA,Federal,Chemical Abstracts Service,
156,Child Care Desk,NY,0,200,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk,New York State Day Care Centers
157,Child Care Desk,NY,0,200,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk,New York State Day Care Centers
158,Child Care Desk,NY,0,200,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk,New York State Day Care Centers
159,Child Care Desk,NY,0,200,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk,New York State Day Care Centers
160,Child Care Desk,NY,0,200,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk,Yelp API
161,Child Care Desk,NY,0,200,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk,Yelp API
162,Child Care Desk,NY,0,200,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk,Yelp API
163,Child Care Desk,NY,0,200,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk,Open311 Inquiry
164,Child Care Desk,NY,0,200,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk,Group Child Care Services
165,Child Care Desk,NY,0,200,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,Child Care Desk,New York Day Care Centers
166,Chubb,NJ,7059,10001,Insurance,Business to Consumer,Multiple government open data sources,,Other,Chubb,
167,Citigroup,NY,10022,10001,Finance&Investment, Business to Government,Multiple city and local data sources,,City/County,Citigroup,"Uses city and local data for analysis of ""smart cities"""
168,CityScan,IL,60654,10,Geospatial&Mapping, Business to Government,Chicago,CHI,City/County,CityScan,
169,CityScan,IL,60654,10,Geospatial&Mapping, Business to Government,Department of Commerce,USDC,Federal,CityScan,
170,CityScan,IL,60654,10,Geospatial&Mapping, Business to Government,Philadelphia,PHILA,State,CityScan,
171,CityScan,IL,60654,10,Geospatial&Mapping, Business to Government,New York City,NYC,City/County,CityScan,
172,CitySourced,CA,90025,50,Governance, Business to Government,Multiple city and local data sources,,City/County,CitySourced,
173,Civic Impulse LLC,DC,20004,10,Governance, Business to Government,U.S. House of Representatives,,Federal Open Data,Civic Impulse LLC,Upcoming bills in the House
174,Civic Impulse LLC,DC,20004,10,Governance, Business to Government,Multiple federal data sources,,Federal,Civic Impulse LLC,
175,Civic Insight,CA,94103,10,Housing&RealEstate, Business to Government,Multiple city and local data sources,,City/County,Civic Insight,
176,Civinomics,CA,95060,10,Governance, Business to Government,Department of Commerce,USDC,Federal,Civinomics,United States Census 2010
177,Civis Analytics,IL,0,200,Data&Technology, nonprofit,Multiple government open data sources,,Other,Civis Analytics,
178,Clean Power Finance,CA,94105,200,Energy, Business to Consumer,Department of Energy,DOE,Federal,Clean Power Finance,
179,Clean Power Finance,CA,94105,200,Energy, Business to Consumer,Department of Energy,DOE,Federal,Clean Power Finance,
180,ClearHealthCosts,NY,10036,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,ClearHealthCosts,
181,ClearStory Data,CA,94301,200,Data&Technology,Business to Business,Multiple government open data sources,,Other,ClearStory Data,
182,Climate Corporation,CA,94103,200,Food&Agriculture,Business to Business,Department of Agriculture,USDA,Federal,Climate Corporation,
183,Climate Corporation,CA,94103,200,Food&Agriculture,Business to Business,Department of Commerce,USDC,Federal,Climate Corporation,Multi-sensor Radar Derived Daily Precipitation
184,Climate Corporation,CA,94103,200,Food&Agriculture,Business to Business,Department of Commerce,USDC,Federal,Climate Corporation,
185,Climate Corporation,CA,94103,200,Food&Agriculture,Business to Business,Department of the Interior,DOI,Federal,Climate Corporation,High Resolution Soil Dataset
186,Climate Corporation,CA,94103,200,Food&Agriculture,Business to Business,National Aeronautics and Space Administration,NASA,Federal,Climate Corporation,
187,CliniCast,CA,94030,10,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,CliniCast,SEER
188,CliniCast,CA,94030,10,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,CliniCast,MEPS
189,CliniCast,CA,94030,10,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,CliniCast,CMS 5% Dataset
190,CliniCast,CA,94030,10,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,CliniCast,
191,Cloudmade,CA,94025,200,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,Cloudmade,GPS data
192,Cloudmade,CA,94025,200,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,Cloudmade,
193,Cloudmade,CA,94025,200,Geospatial&Mapping,Business to Business,Multiple government open data sources,,Other,Cloudmade,
194,Cloudspyre,VA,20152,10,Lifestyle&Consumer,Business to Business,Department of Labor,DOL,Federal,Cloudspyre,
195,Code for America,CA,94103,200,Governance,Business to Government,Austin,AUS,City/County,Code for America,
196,Code for America,CA,94103,200,Governance,Business to Government,Chicago,CHI,City/County,Code for America,
197,Code-N,CA,94025,50,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,Code-N,
198,Collective IP,CO,80216,10,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,Collective IP,
199,Collective IP,CO,80216,10,Data&Technology,Business to Business,Department of Health and Human Services,HHS,Federal,Collective IP,
200,"College Abacus, an ECMC initiative",DC,0,1000,Finance&Investment,Business to Consumer,Department of Education,ED / DOED,Federal,"College Abacus, an ECMC initiative",IPEDS
201,"College Abacus, an ECMC initiative",DC,0,1000,Finance&Investment,Business to Consumer,Department of Education,ED / DOED,Federal,"College Abacus, an ECMC initiative",Cohort Default Rates
202,College Board,NY,11023,5000,Education,Business to Consumer,Department of Education,ED / DOED,Federal,College Board,
203,College Board,NY,11023,5000,Education,Business to Consumer,Department of Education,ED / DOED,Federal,College Board,
204,Compared Care,MD,0,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,Compared Care,
205,Compendia Bioscience Life Technologies,MI,48104,50,ScientificResearch, academia,Department of Health and Human Services,HHS,Federal,Compendia Bioscience Life Technologies,NIH
206,Compendia Bioscience Life Technologies,MI,48104,50,ScientificResearch, academia,Department of Health and Human Services,HHS,Federal,Compendia Bioscience Life Technologies,NCI Thesaurus
207,Compendia Bioscience Life Technologies,MI,48104,50,ScientificResearch, academia,Department of Health and Human Services,HHS,Federal,Compendia Bioscience Life Technologies,RefSeq
208,Compendia Bioscience Life Technologies,MI,48104,50,ScientificResearch, academia,Department of Health and Human Services,HHS,Federal,Compendia Bioscience Life Technologies,TCGA
209,Compliance and Risks,CA,95962,50,Business&LegalServices,Business to Business,Multiple government open data sources,,Other,Compliance and Risks,Tracks regulation and legislative changes to help companies with compliance.
210,Compliance and Risks,CA,95962,50,Business&LegalServices,Business to Business,Multiple government open data sources,,Other,Compliance and Risks,Tracks regulation and legislative changes to help companies with compliance.
211,Computer Packages Inc,MD,20850,200,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,Computer Packages Inc,
212,CONNECT-DOT LLC.,NJ,7410,10,Lifestyle&Consumer, Business to Government,Multiple government open data sources,,Other,CONNECT-DOT LLC.,
213,ConnectEDU,MA,2210,200,Education,Business to Consumer,Department of Education,ED / DOED,Federal,ConnectEDU,
214,ConnectEDU,MA,2210,200,Education,Business to Consumer,Multiple city and local data sources,,City/County,ConnectEDU,Uses district education data as well as national data.
215,Connotate,NJ,8901,200,Data&Technology,Business to Business,Multiple government open data sources,,Other,Connotate,public records and court documents
216,Construction Monitor LLC,UT,84721,50,Housing&RealEstate,Business to Business,Department of Commerce,USDC,Federal,Construction Monitor LLC,building permit data
